Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Operative_Procedure,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On Track Toward 2020 Goal (0.82, 2018)",SIR_2015,Notes
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),"Hysterectomy,abdominal",37,0,0.21,0.00,0.00,17.24,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Knee prosthesis,21,0,0.23,0.00,0.00,16.32,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Laminectomy,5,0,0.02,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Kidney surgery,24,0,0.08,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Ovarian surgery,25,0,0.02,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Pacemaker surgery,11,0,0.02,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Rectal surgery,12,0,0.26,0.00,0.00,13.97,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Small bowel surgery,37,1,0.71,1.42,0.04,7.89,Same,No,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Spleen surgery,3,0,0.03,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Thoracic surgery,7,0,0.01,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),"Hysterectomy, vaginal",8,0,0.03,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000052,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),Exploratory abdominal surgery (laparotomy),73,0,0.40,0.00,0.00,9.34,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),,3036,23,16.21,1.42,0.92,2.10,Same,No,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Abdominal aortic aneurysm repair,1,0,0.01,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Appendix surgery,98,0,0.20,,,,,,5.24,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),"Bile duct, liver or pancreatic surgery",23,0,0.65,0.00,0.00,5.68,Same,Yes,1.21,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Cardiac surgery,53,0,0.17,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),"Coronary bypass,chest and donor incisions",64,0,0.40,0.00,0.00,9.25,Same,Yes,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),"Coronary bypass,chest incision only",10,0,0.06,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Gallbladder surgery,175,1,0.79,1.27,0.03,7.06,Same,No,0.98,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Colon surgery,183,5,3.77,1.33,0.49,2.94,Same,No,1.46,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Cesarean section,676,1,0.54,1.87,0.05,10.41,Same,No,4.07,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Spinal fusion,312,3,1.63,1.84,0.47,5.01,Same,No,0.97,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Open reduction of fracture,198,1,1.37,0.73,0.04,3.59,Same,Yes,1.96,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Gastric surgery,48,0,0.46,0.00,0.00,7.99,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Hip prosthesis,247,2,1.40,1.43,0.24,4.73,Same,No,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),"Hysterectomy,abdominal",48,3,0.30,10.17,2.10,29.72,Worse,No,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Knee prosthesis,204,1,0.85,1.17,0.03,6.54,Same,No,1.50,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Laminectomy,144,0,0.42,0.00,0.00,8.83,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Kidney surgery,16,0,0.05,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Ovarian surgery,43,0,0.03,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Pacemaker surgery,140,0,0.23,0.00,0.00,15.97,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Rectal surgery,14,0,0.14,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Small bowel surgery,90,5,1.72,2.91,1.07,6.45,Worse,No,1.11,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Spleen surgery,5,0,0.02,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Thoracic surgery,81,1,0.27,3.68,0.09,20.48,Same,No,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),"Hysterectomy, vaginal",9,0,0.04,,,,,,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",050000039,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),Exploratory abdominal surgery (laparotomy),154,0,0.71,0.00,0.00,5.20,Same,Yes,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),,2806,16,14.67,1.09,0.65,1.73,Same,No,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Abdominal aortic aneurysm repair,1,0,0.01,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Appendix surgery,80,0,0.20,0.00,0.00,18.44,Same,Yes,4.37,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),"Bile duct, liver or pancreatic surgery",18,0,0.29,0.00,0.00,12.55,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Cardiac surgery,67,0,0.15,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),"Coronary bypass,chest and donor incisions",103,0,0.37,0.00,0.00,10.00,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),"Coronary bypass,chest incision only",6,0,0.02,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Gallbladder surgery,133,2,0.49,4.09,0.50,14.77,Same,No,9.06,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Colon surgery,93,1,2.06,0.49,0.02,2.40,Same,Yes,2.68,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Cesarean section,160,0,0.17,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Spinal fusion,313,5,2.24,2.23,0.82,4.95,Same,No,1.16,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Open reduction of fracture,281,4,1.97,2.03,0.64,4.89,Same,No,1.33,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Gastric surgery,15,0,0.15,,,,,,0.00,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Hip prosthesis,280,1,1.24,0.81,0.04,3.97,Same,Yes,3.52,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),"Hysterectomy,abdominal",34,0,0.20,0.00,0.00,18.35,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Knee prosthesis,400,1,1.33,0.75,0.04,3.70,Same,Yes,0.75,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Laminectomy,292,0,0.78,0.00,0.00,4.75,Same,Yes,2.12,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Kidney surgery,38,0,0.13,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Ovarian surgery,22,0,0.02,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Pacemaker surgery,162,0,0.26,0.00,0.00,14.19,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Rectal surgery,9,0,0.06,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Small bowel surgery,68,1,1.24,0.81,0.04,3.99,Same,Yes,1.01,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Spleen surgery,14,0,0.11,,,,,,0.00,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Thoracic surgery,51,0,0.10,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),"Hysterectomy, vaginal",10,0,0.04,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",140000648,Santa Rosa Memorial Hospital,Sonoma,Acute Care Hospital,Community (>250 Beds),Exploratory abdominal surgery (laparotomy),156,1,1.04,0.96,0.05,4.73,Same,No,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),,3369,17,17.37,0.98,0.59,1.54,Same,No,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Appendix surgery,105,2,0.64,3.13,0.38,11.29,Same,No,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),"Bile duct, liver or pancreatic surgery",30,1,0.84,1.20,0.03,6.67,Same,No,0.77,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Cardiac surgery,28,0,0.13,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),"Coronary bypass,chest and donor incisions",9,0,0.12,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),"Coronary bypass,chest incision only",33,0,0.23,0.00,0.00,16.25,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Gallbladder surgery,370,1,1.09,0.92,0.05,4.53,Same,No,0.82,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Colon surgery,84,3,2.70,1.11,0.28,3.03,Same,No,1.23,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Cesarean section,1323,3,2.13,1.41,0.36,3.83,Same,No,0.89,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Spinal fusion,42,0,0.26,0.00,0.00,14.41,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Open reduction of fracture,242,1,1.88,0.53,0.03,2.63,Same,Yes,1.65,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Gastric surgery,37,1,0.36,2.80,0.07,15.61,Same,No,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Hip prosthesis,75,0,0.64,0.00,0.00,5.73,Same,Yes,2.87,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),"Hysterectomy,abdominal",100,0,0.71,0.00,0.00,5.20,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Knee prosthesis,92,0,0.75,0.00,0.00,4.93,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Laminectomy,77,1,0.26,3.82,0.10,21.27,Same,No,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Kidney surgery,2,0,0.01,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Ovarian surgery,108,0,0.07,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Pacemaker surgery,54,0,0.12,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Rectal surgery,18,0,0.34,0.00,0.00,10.88,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Small bowel surgery,75,3,1.48,2.02,0.52,5.51,Same,No,0.00,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Spleen surgery,18,0,0.20,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Thoracic surgery,43,0,0.10,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),"Hysterectomy, vaginal",10,0,0.04,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000157,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),Exploratory abdominal surgery (laparotomy),394,1,2.30,0.44,0.02,2.15,Same,Yes,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),,1109,8,4.84,1.65,0.77,3.14,Same,No,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Abdominal aortic aneurysm repair,1,0,0.01,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Appendix surgery,73,0,0.28,0.00,0.00,13.41,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),"Bile duct, liver or pancreatic surgery",1,0,0.01,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Gallbladder surgery,94,0,0.26,0.00,0.00,14.03,Same,Yes,3.21,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Colon surgery,42,3,0.72,4.15,0.86,12.13,Same,No,1.06,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Cesarean section,205,0,0.23,0.00,0.00,15.83,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Spinal fusion,35,0,0.12,,,,,,10.10,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Open reduction of fracture,92,2,0.57,3.52,0.43,12.70,Same,No,6.33,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Gastric surgery,5,0,0.03,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Hip prosthesis,146,0,0.70,0.00,0.00,5.27,Same,Yes,2.45,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),"Hysterectomy,abdominal",23,0,0.10,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Knee prosthesis,214,3,0.67,4.47,0.92,13.07,Same,No,3.05,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Laminectomy,27,0,0.09,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Ovarian surgery,8,0,0.01,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Pacemaker surgery,20,0,0.03,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Rectal surgery,3,0,0.05,,,,,,0.00,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Small bowel surgery,29,0,0.54,0.00,0.00,6.78,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Thoracic surgery,4,0,0.01,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),"Hysterectomy, vaginal",34,0,0.14,,,,,,0.00,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000094,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),Exploratory abdominal surgery (laparotomy),53,0,0.27,0.00,0.00,13.66,Same,Yes,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",060000129,LAC/Harbor UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,,3182,43,27.99,1.54,1.13,2.05,Worse,No,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",060000129,LAC/Harbor UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Abdominal aortic aneurysm repair,7,0,0.05,,,,,,0.00,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",060000129,LAC/Harbor UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Appendix surgery,144,1,0.90,1.11,0.03,6.21,Same,No,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",060000129,LAC/Harbor UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,"Bile duct, liver or pancreatic surgery",41,1,1.57,0.64,0.03,3.14,Same,Yes,1.06,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",060000129,LAC/Harbor UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Cardiac surgery,70,0,0.32,0.00,0.00,11.39,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",060000129,LAC/Harbor UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,"Coronary bypass,chest and donor incisions",64,1,0.57,1.75,0.04,9.76,Same,No,,† See data dictionary
